,premise,hypothesis,label,explanation,language
725,"Ein Mann, der ein blaues Hemd, eine schwarze Schürze, eine Brille und eine Maske trägt, verarbeitet Lebensmittel in einem Tablett.",Ein persönlicher Küchenchef bereitet eine Mahlzeit für seinen Promi-Kunden und ihre Gäste zu.,neutral,"Ein Mann kann sich in jeder Kleidung, die sie kochen wollen, während sie kein Koch. Ob es ein Koch oder nicht, sie können für sich selbst und nicht Promi-Kunden kochen.",german
726,"Der kleine Junge macht sich bereit, den Fußball zu treten.",der Junge schläft zu Hause,contradiction,Der Junge kann nicht gleichzeitig schlafen und einen Ball treten,german
727,"Ein Notfallarbeiter leitet einen Mann, der einen Schlitten mit Notausrüstung auf einem verschneiten Pfad zieht.",Ein Notfallarbeiter hilft im Freien.,entailment,"Ein Notfallarbeiter ist auf einem verschneiten Pfad, der draußen ist, und leitet einen Mann, dem er hilft, indem er ihm Richtung gibt.",german
728,Wanderer laufen durch ein hartes Terrain.,"Wanderer machen ihren Weg entlang des harten Geländes, um zur Szene des Herbstes zu gelangen.",neutral,"Die Wanderer sind nicht unbedingt zu Fuß, um zum Schauplatz des Herbstes zu gelangen.",german
729,Zwei junge Mädchen hängen Tanne auf einem Weihnachtsbaum in einem Zimmer mit blauen Vorhängen.,Zwei Mädchen sind glücklich und kommen in den Geist von Weihnachten.,neutral,"Sie können nicht schlussfolgern, dass sie glücklich sind.",german
730,Männlich mit braunen Shorts und schwarzem T-Shirt in seinem Schlafzimmer mit seinen Füßen auf dem Schreibtisch am Telefon sprechen.,"Ein Mann liegt auf der Couch, während er am Telefon spricht.",contradiction,Die Füße auf einem Schreibtisch und das Liegen auf einer Couch sind unterschiedliche Körperpositionen.,german
731,Eine junge Frau mit rotem Haar passt ein blaues Armband auf eine ältere Frau mit kurzen Haaren an.,Zwei Frauen machen Pfannkuchen.,contradiction,Diese beiden Frauen können nicht ein Armband anpassen und gleichzeitig Pfannkuchen machen.,german
732,"Ein Mann in einer hellbraunen Jacke, orange Unterhemd, blaue Jeans, und eine schwarze Tasche, die viele Stöcke von Zuckerwatte hat.",Ein nackter Mann pflückt Äpfel.,contradiction,"Wenn der Mann nackt ist, trägt er keine Jacke.",german
733,Ein Mann und eine Frau laufen auf der Straße.,Mann und Frau gehen.,contradiction,Mann und Frau können nicht laufen und gehen.,german
734,"Ein Mann, der ein kurzärmeliges blaues Hemd trägt und einen blauen Rucksack trägt, während er mit schneebewegenden Stöcken durch den Schnee trete, wobei eine Frau ein langärmeliges blaues Hemd und eine schwarze Hose auch mit schneebewegenden Stöcken trägt.",ein Kerl mit einem blauen Oberteil trägt ein Rudel und macht seinen Weg durch den Schnee,entailment,"Der Mann im blauen Hemd, der einen Rucksack trägt und Spazierstöcke benutzt, ist ein Kerl, der ein Top trägt, das sich durch den Schnee bewegt.",german
735,Ein Baby isst aquafarbenen Kuchen sehr chaotisch.,"Ein Baby, das Kuchen isst und Geburtstag feiert.",neutral,"Die Leute essen Kuchen an Tagen, die nicht ihr Geburtstag sind.",german
736,"Eine Person steht zwischen zwei riesigen Statuen, die wie Gesichter aussehen.",Ein Mensch steht zwischen zwei großen Objekten.,entailment,Zwei riesige Statuen sind zwei große Objekte.,german
737,Eine Frau und ein kleines Mädchen schauen in eine Vitrine.,Eine Frau und ein kleines Mädchen schauen sich etwas an.,entailment,"Sie betrachten etwas, weil sie in eine Vitrine schauen.",german
738,"Kinder vor einem Gebäude, das Sehenswürdigkeiten macht.",Die Kinder sind auf einer Exkursion,neutral,"Kinder, die Sightseeing machen, sind nicht unbedingt auf einem Ausflug.",german
739,Ein Mann aus dem Tuch legt eine schwarze Substanz auf die Stirn eines Mannes.,Die Frauen sind im Park.,contradiction,"Unter der Annahme, dass die Aktionen im Park stattfinden, müssen die Menschen, die das tun, entweder Männer oder Frauen sein.",german
740,"Ein Mann, der eine lange braune Robe trägt, spielt Gitarre, während eine andere Person am Schlagzeug sitzt und ein anderer eine lange graue Robe trägt und singt.",Der Mann ist ein toller Gitarrist.,neutral,"Ein Mann, der Gitarre spielt, nimmt nicht an, ein großartiger Gitarrist zu sein.",german
741,Ein alter Mann mit kariertem Hemd und blauer Hose schaut an einem sonnigen Tag in einem Teleskop.,Ein alter Mann in einem karierten Hemd kauft Äpfel auf dem Markt.,contradiction,Entweder schaut der Mann in ein Teleskop oder der Mann kauft Äpfel auf dem Markt.,german
742,Ein Junge und ein Mädchen Kind schwingen zusammen auf einem Schaukel-Set.,Ein Bruder und eine Schwester spielen auf einem Swing-Set.,neutral,Ein Junge und ein Mädchen sind nicht unbedingt ein Bruder und eine Schwester.,german
743,"Ein Junge am Strand läuft durch die Brandung zu drei anderen Menschen, die bereits im Wasser sind.","Der Junge läuft durch die Brandung zu seiner Familie, die schwimmen.",neutral,"Nur weil ein Junge auf drei Menschen zuläuft, heißt das nicht, dass es seine Familie ist.",german
744,"Ein Passagier, der eine Schwimmweste trägt, bereitet sich darauf vor, ein Bild eines Wals ganz in der Nähe des Bootes zu machen.",Ein Mann benutzt eine Kamera.,entailment,"Der Mensch ist ein Passagier und bereitet sich darauf vor, ein Foto zu machen, ist eine Neugestaltung der Verwendung einer Kamera.",german
745,Eine Gruppe von Leuten geht eine belebte Straße entlang.,Eine Gruppe von Menschen wird arbeiten.,neutral,"Eine Gruppe von Menschen konnte aus Gründen gehen, außer zur Arbeit zu gehen.",german
746,Ein hemdloser Mann Skateboards auf einer Kante.,Eine große Person ohne Hemd,neutral,Der Mann muss kein großer Mensch sein.,german
747,Ein Mann balanciert ein Einrad mit seinem Gesicht und beiden Händen.,Ein Mann schläft auf dem Boden.,contradiction,"Ein Mann, der schläft, kann ein Einrad nicht ausgleichen.",german
748,Ein Mann und ein junges Mädchen schwimmen.,eine Mutter und ein Sohn essen Mittagessen,contradiction,"Es kann nicht sein, dass ein Mann und ein junges Mädchen schwimmen und eine Mutter und ein Sohn gleichzeitig essen.",german
749,Ein Junge steht mitten in einer Menge von Teenagern.,Eine Person steht mitten in einer Menge von Teenagern.,entailment,"Ein Junge ist ein Mensch, und er ist mitten in einer Menge von Teenagern.",german
750,"Eine Menge Leute, die vor Statuen stehen.",Die Statue ist aus Marmor.,neutral,Nicht alle Statuen sind aus Marmor.,german
751,"Ein alter Mann mit Cowboyhut, Cowboystiefeln und Blue Jeans steht neben einer Kabine und schaut in die Ferne, wenn die Sonne im Hintergrund untergeht.",Eine Person mit einem Hut,entailment,Ein alter Mann ist eine Person und ein Cowboy Hut ist eine bestimmte Art von Hut.,german
752,"Ein Mann, der mit zwei Frauen spricht.",Ein Mann und zwei Frauen springen Bungee.,contradiction,Sie können entweder sprechen oder Bungee springen.,german
753,"Junge Jungs in grünen und blauen Trikots treten um einen Fußball, während andere Fußballspiele im Hintergrund stattfinden.",Junge Jungs treten um einen Fußball.,entailment,Junge Jungs (in grünen und blauen Trikots) treten um einen Fußball ist Teil der gesamten Beschreibung des Fußballspiels.,german
754,"Ein Mann, der ins Ohr zeigt, trägt ein gestreiftes Hemd in einem kleinen Boot voller Menschen.",Ein Mann zeigt ins Ohr und trägt ein leichtes gestreiftes Hemd.,entailment,Das Hemd kann leichte Streifen auf sich haben.,german
755,"Eine Frau macht ein Bild von einer zweiten Frau, während sie sich auf einen Tisch lehnt.",Männer fotografieren Frauen am Strand.,contradiction,"Es scheint einen Unterschied zu geben, wer das Bild macht (eine Frau oder zwei Männer), und es gibt in der Regel keine Tische am Strand; Tische implizieren eine Inneneinrichtung.",german
756,"Ein Rocker, der mit einem Fuß auf der Bühne steht und das Mikrofon am Stand über dem Kopf hält.",Ein Mann überprüft seine Gitarre im Hinterzimmer vor einem Gig.,contradiction,Der Rocker kann nicht im Hinterzimmer auf der Bühne sein.,german
757,"Ein Mann und eine Frau, die beide Sandalen tragen und an einem Zaun spazieren gehen.",der Mann in workboots ging allein,contradiction,"Ein Mann in workboots ist allein und widerspricht einem Mann und einer Frau, die zusammen gehen, Auch war der Mann in Sandalen in einem Szenario und in workboots in der anderen.",german
758,3 Mädchen plaudern und lachen auf dem Treppenhaus.,Mädchen amüsieren sich nicht.,contradiction,Amüsiert sich nicht gegen Lachen.,german
759,"Eine Gruppe von Menschen, meist in Strohhüten, folgen einem Mann auf einen Strand mit vielen großen Felsen bedeckt.","Sie planen, Steine ins Wasser zu werfen",neutral,"Sie müssen keine Strohhüte tragen, um Steine ins Wasser zu werfen.",german
760,Eine braunhaarige Dame trägt eine wiederverwendbare Tasche und hält einen Kaffee in der einen Hand und einen Keks in der anderen.,Eine Dame isst Sushi an ihrem Schreibtisch.,contradiction,Entweder konsumiert die Dame Sushi oder Kaffee und einen Keks.,german
761,"Ein weißer Fußballspieler versucht, einen Fußball abzufangen, der sich schnell der Torbox nähert.",Ein Fußballer bekommt das Abfangen.,entailment,"Ein Fußballer, der eine Abhörung macht, muss es versucht haben.",german
762,Ein grauhaariger Mann fährt ein Fahrrad vor einem Bus Werbung Ironman.,Ein älterer Mann fährt ein Fahrrad vor einem Bus mit einem Filmposter darauf.,neutral,"Nur weil ein Mann grauhaarig ist, bedeutet das nicht, dass er älter ist.",german
763,Eine Football-Schicht mit rotem Hemd.,"Ein gebauter Mann, der ein T-Shirt trägt.",neutral,Ein Tshirt kann eine andere Farbe als rot sein.,german
764,"Ein Spiel ähnlich wie Baseball wird gespielt, wie ein Ball schließt sich auf den Spieler, der bereit ist zu schlagen.",Manche Leute tauchen.,contradiction,Baseball wird beim Tauchen nicht gespielt.,german
765,Ein Mann gibt eine Präsentation.,der Mann ist ein Bauer,neutral,"Nur weil der Mann eine Präsentation gibt, heißt das nicht, dass er ein Bauer ist.",german
766,"Ein Rennwagen mit der Nummer 104 rundet eine Kurve ab, während zwei Leute zusehen und fotografieren.",Die Leute machen Fotos.,entailment,Bilder machen ist ähnlich wie Bilder machen.,german
767,Ein staubiger Junge läuft auf einem Schmutzpfad durch das Gras.,Ein Mädchen jagt einem Kaninchen nach.,contradiction,Das Thema ist entweder ein Junge oder ein Mädchen.,german
768,"Ein weißer Fußballspieler versucht, einen Fußball abzufangen, der sich schnell der Torbox nähert.",Ein Basketballspieler blockiert einen Schuss.,contradiction,Fußball und Basketball sind ganz unterschiedliche Sportarten.,german
769,"Ein Mann mit Bart, der vor dem Tourbus sitzt.","Ein Mann reist, um seinen besten Freund zu sehen.",neutral,"Sie sind andere Gründe, warum ein Mann vor einem Tourbus sitzen könnte, außer zu reisen, um seinen besten Freund zu sehen.",german
770,"Der Mann versucht, eine Keramik herzustellen, die er bald vermarkten kann.",Eine Frau durchnässt sich die Füße.,contradiction,Ein Mann ist nicht dasselbe wie eine Frau.,german
771,"Eine Dame gräbt durch eine Mülltonne, die den Warenkorb neben ihr hinzufügen möchte.",Frau gräbt durch Müll,entailment,"Weil die Dame durch Müll gräbt, kann sie neben ihr auch Artikel in den Warenkorb legen.",german
772,"Der Basketballspieler in der blauen Uniform bewacht den Spieler in der orangen Uniform, der den Ball hat.","Zwei Spieler kämpfen, um den Ball zu bekommen",neutral,"Spieler können sich gegenseitig bewachen, ohne um den Ball zu kämpfen.",german
773,Ein junger weißer Mann im Fahrwerk joggt am Wasser.,Ein Mann läuft einen Weg entlang.,neutral,"Sie können nicht folgern, dass er auf dem Weg ist.",german
774,"Ein nacktes, lächelndes Kind spielt im Wasser.","Es gibt ein oben ohne Kind, das im Wasser spielt.",entailment,"Bare Brust impliziert, dass sie topless sind",german
775,"Ein Mädchen mit Strickmütze, Handschuhen, Winterjacke, Schneehose und Stiefeln steht an einem gefrorenen Wasserfall, mit einem Metallmast an ihrer Seite.",Ein junges Mädchen ist an einem Wasserfall.,entailment,"Ein Mädchen sollte jung und so jung sein, wie sie an einem (gefrorenen) Wasserfall steht.",german
776,"Eine Läuferin, die in blauer Sportkleidung gekleidet ist, läuft in einem Wettbewerb, während die Zuschauer die Straße säumen.",Die Straßen sind leer.,contradiction,"Zuschauer säumen die Straße, anstatt dass sie leer sind.",german
777,"Zwei Männer stehen auf einem frisch zerriebenen Feld an der Grenze eines Waldes, während ein Bulldozer in der Nähe ödert.",Die beiden Männer sind wieder im Büro.,contradiction,Die Männer stehen entweder in einer Akte oder im Büro.,german
778,"Jeder auf der Straße in der Stadt scheint damit beschäftigt zu sein, sein eigenes Ding zu tun.",Die Leute fräsen über die Stadtstraße.,entailment,"Jeder meint, das sind Leute, die über das Fräsen impliziert, beschäftigt zu sein oder zu sein scheinen beschäftigt zu sein.",german
779,Ein öffentlicher Redner in einem karierten Hemd spricht auf dem Mikrofon.,Ein Mann trägt einen Anzug.,contradiction,"Wenn der Mann ein kariertes Hemd trägt, trägt er keinen Anzug.",german
780,"Eine Frau, die sich über etwas freut.","Eine Frau freut sich, dass ihr Mann von der Arbeit zu Hause ist.",neutral,"Eine Frau kann ohne ihren Mann glücklich sein. Wenn es ihr Mann ist, kommt er vielleicht nicht von der Arbeit nach Hause.",german
781,Zwei Menschen sitzen auf einem Felsen und blicken in die Ferne.,Zwei Leute sind auf der Suche nach einem guten Campingplatz.,neutral,"Menschen, die in die Ferne schauen, sind nicht immer auf der Suche nach einem Campingplatz.",german
782,Ein Mann mit einem weißen Bart spricht in ein Mikrofon mit einem langärmeligen grauen Knopf unten Hemd.,Ein Mann mit weißem Bart sitzt ruhig auf einer Couch.,contradiction,"Ein Mann, der in ein Mikrofon spricht, sitzt nicht leise.",german
783,Zwei Ringer in einem intensiven Match.,Zwei Ringer essen in einem lokalen Diner zu Abend.,contradiction,Man kann beim Essen nicht in einer intensiven Übereinstimmung sein.,german
784,Mann und Frau rudern auf Surfbrettern dritten Ruderer in der Ferne.,Paar gehen für ihre erste Surf-Session als Paar.,neutral,Paare lernen ihre Surf-Session,german
785,Zwei orientalische ältere Frauen sammeln Reis aus den Feldern.,Zwei asiatische Frauen tragen Hüte.,neutral,Die Frauen tragen nicht unbedingt Hüte.,german
786,"Eine Person, die neben einem alten dunklen Gebäude steht.","Eine Person, die in der Nähe eines Gebäudes steht.",entailment,"Eine Person, die neben steht, befindet sich in der Nähe eines Gebäudes.",german
787,"Ein Mann in grün tritt einen Fußball, während ein Mann in lila und weiß fällt.",Ein Mann in Grün warf seinen Fußball auf den Hund.,contradiction,"Er hat den Fußball geworfen, aber er hat ihn getreten.",german
788,"Ein Mann in einem weißen Hemd, der ein Foto macht.",der Mann nimmt einen Videoclip,contradiction,Sie können kein Video und kein Bild gleichzeitig machen.,german
789,"Ein lächelnder Mann mit grauen Haaren und Brillen, schwarz gekleidet, sitzt auf einem Stuhl mit einem Musikstand vor ihm.",Dieser ältere Mann ist kurzsichtig.,neutral,"Ein Mann wird nicht angenommen, dass er älter oder kurzsichtig ist.",german
790,"Bauarbeiter auf Aufzügen, die an einem Gebäude arbeiten.","Es gibt Männer, die an einem Gebäude arbeiten.",entailment,"Männer, die an einem Gebäude arbeiten, müssen Bauarbeiter sein.",german
791,"Eine Frau, die eine gestreifte Verpackung trägt, wird in einem Kornfeld gebeugt, während sie auf die Kamera schaut.","Eine Frau trägt eine gestreifte Verpackung und einen Hut wird in einem Kornfeld gebogen, während sie auf die Kamera schaut.",neutral,Das Tragen einer Packung in einem Kornfeld trägt nicht immer einen Hut.,german
792,Ein junger Mann in einer Rückwärts-Baseballkappe balanciert sein Skateboard am Betonrand.,Der Mann bricht sein Skateboard,contradiction,"Der Mann, der ein Skateboard reitet, balanciert entweder sein Skateboard, oder er bricht sein Skateboard.",german
793,Zwei kleine Jungs in Smoking gekleidet sitzen auf einem roten Teppichboden.,Zwei gut gekleidete Jungs sitzen auf einem roten Teppichboden in einem Haus.,neutral,"Man kann gut gekleidet sein, ohne einen Smoking zu tragen.",german
794,Ein Mann und zwei Kinder stehen vor einem alten Gebäude.,Ein Mann sitzt auf dem Boden.,contradiction,"Er bezieht sich auf einen Mann und zwei Kinder, nicht nur auf einen Mann. Er kann nicht gleichzeitig stehen und sitzen.",german
